"","item_id","pId","cId","sgId"
"1",51266517,4704,11,35
"2",51266518,4704,11,35
"3",50880931,11987,97,35
"4",51110029,4704,160,35
"5",51110032,4704,160,35
"6",51110061,5899,160,35
"7",50022217,58426,166,35
"8",50022384,4655,166,35
"9",50649716,134673,166,35
"10",51287047,5899,160,35
"11",51332166,5899,160,35
"12",51501341,4704,11,35
"13",51474059,206563,11,35
"14",51469542,5899,160,35
"15",51661709,4704,11,35
"16",51517589,254709,94,35
"17",51517590,351099,94,35
"18",51062616,134673,166,35
"19",51518797,124782,97,35
"20",51518798,124782,97,35
"21",51741052,4704,160,35
"22",51741062,5899,160,35
"23",51817987,61910,11,35
"24",51817989,61910,11,35
"25",51817990,61910,11,35
"26",51817992,206563,11,35
"27",51817993,206563,11,35
"28",51622536,166061,94,35
"29",51639699,370961,97,35
"30",51639700,370962,97,49
"31",51639701,370090,97,35
"32",51853909,5899,160,35
"33",52048399,359537,160,85
"34",52048400,5899,160,35
"35",51924023,261649,166,35
"36",51924386,355693,166,35
"37",51924384,187110,166,35
"38",52393492,11987,97,35
"39",52686676,4704,141,35
"40",52718516,4704,160,35
"41",52718517,4704,160,35
"42",52718518,5899,160,35
"43",52718519,111518,160,35
"44",52718520,4704,160,35
"45",52872176,5899,160,35
"46",52718584,5899,160,35
"47",52915118,219083,11,35
"48",52534976,11987,97,35
"49",52534977,11987,97,35
"50",52534978,11987,97,35
"51",52534979,11987,97,35
"52",52534980,11987,97,35
"53",52534981,7758,97,35
"54",52534982,7758,97,35
"55",52820977,4704,11,35
"56",52786796,4704,160,35
"57",52715171,4711,11,35
"58",52718637,5884,160,35
"59",52718638,136698,160,35
"60",51925264,169151,166,35
"61",51925268,58424,166,35
"62",51925269,58424,166,35
"63",52950953,7758,97,35
"64",52950954,7758,97,35
"65",52950955,7758,97,35
"66",52939759,4704,160,35
"67",52939760,111518,160,35
"68",52939761,5899,160,35
"69",52980340,7758,97,35
"70",52980341,7758,97,35
"71",52980342,7758,97,35
"72",53064112,5899,160,35
"73",53051328,219083,11,35
"74",53259878,5899,160,35
"75",53259879,5899,160,35
"76",53259880,111518,160,35
"77",52454953,4655,166,35
"78",52454954,134673,166,35
"79",53225254,4704,11,35
"80",53074278,7758,97,35
"81",53074279,7758,97,35
"82",53074280,11987,97,35
"83",53074291,7758,97,35
"84",53074293,32081,97,35
"85",53074294,32081,97,35
"86",53236315,111518,160,35
"87",52454904,134673,166,35
"88",53313877,111518,160,35
"89",53213186,5899,160,35
"90",53213187,5899,160,35
"91",54107377,257950,11,35
"92",54107378,257950,11,35
"93",54107379,245211,11,35
"94",54107380,245211,11,35
"95",51266426,4704,141,35
"96",51287014,4704,160,35
"97",51325402,245211,11,35
"98",51325403,245211,11,35
"99",51325404,258837,11,35
"100",51174296,4704,141,35
"101",51174297,4704,141,35
"102",51174302,4704,141,35
"103",51324759,4704,160,35
"104",51324760,5899,160,35
"105",51324763,4704,160,35
"106",51324764,4704,160,35
"107",51324753,5899,160,35
