"","item_id","pId","cId","sgId"
"1",51517867,8239,97,35
"2",51517862,368237,97,35
"3",51826550,368237,97,35
"4",51826515,119641,97,35
"5",51947734,70814,5,35
"6",51826655,11384,97,35
"7",51826656,11384,97,35
"8",51826657,368237,97,35
"9",51999655,32081,97,35
"10",51999656,159966,97,35
"11",51999657,16611,97,35
"12",51999658,16611,97,35
"13",52420072,259245,2,35
"14",52394129,7758,97,35
"15",52394130,7758,97,35
"16",52394131,7758,97,35
"17",52394132,8247,97,35
"18",52394134,372790,97,35
"19",52394135,372790,97,35
"20",53706563,11987,97,35
"21",53706658,125747,97,35
"22",53706659,346586,97,35
"23",53706566,11987,97,35
"24",53706657,125747,97,35
"25",53854437,200737,97,35
"26",53854438,200737,97,35
"27",53854439,200737,97,35
"28",53971932,129261,97,35
"29",54177316,70814,5,35
"30",51266517,4704,11,35
"31",51266518,4704,11,35
"32",51266519,4704,11,35
"33",50880931,11987,97,35
"34",51110029,4704,160,35
"35",51110032,4704,160,35
"36",51110061,5899,160,35
"37",50022217,58426,166,35
"38",50022384,4655,166,35
"39",50649716,134673,166,35
"40",51287047,5899,160,35
"41",51397789,5899,160,35
"42",51332166,5899,160,35
"43",51501341,4704,11,35
"44",51474059,206563,11,35
"45",51469542,5899,160,35
"46",51661709,4704,11,35
"47",51517589,254709,94,35
"48",51517590,351099,94,35
"49",51062616,134673,166,35
"50",51644308,5899,160,35
"51",51518797,124782,97,35
"52",51518798,124782,97,35
"53",51741052,4704,160,35
"54",51741062,5899,160,35
"55",51741060,5899,160,35
"56",51817987,61910,11,35
"57",51817989,61910,11,35
"58",51817990,61910,11,35
"59",51817992,206563,11,35
"60",51817993,206563,11,35
"61",51622536,166061,94,35
"62",51639699,370961,97,35
"63",51639700,370962,97,49
"64",51639701,370090,97,35
"65",51853909,5899,160,35
"66",51639698,368237,97,35
"67",51853910,5899,160,35
"68",52048399,359537,160,85
"69",52048400,5899,160,35
"70",51923462,231164,166,35
"71",51924023,261649,166,35
"72",51924025,134673,166,35
"73",51924386,355693,166,35
"74",51924384,187110,166,35
"75",52393492,11987,97,35
"76",52686676,4704,141,35
"77",52718516,4704,160,35
