"","item_id","cId","sgId"
"1",357566,18,1
"2",368668,181,1
"3",257931,94,77
"4",158653,18,1
"5",36045,97,77
"6",371654,18,1
"7",358088,94,77
"8",228897,18,1
"9",254344,184,1
"10",236621,184,1
"11",377373,1,1
"12",373260,184,1
"13",179528,184,1
"14",246188,184,1
"15",235089,184,1
"16",134280,184,1
"17",157426,184,1
"18",4884,184,1
"19",236620,184,1
"20",5134,184,1
"21",87477,184,1
"22",237114,184,1
"23",237283,184,1
"24",366653,181,1
"25",367351,181,1
"26",249233,18,1
"27",368024,1,1
"28",222671,181,1
"29",371757,1,1
"30",245116,1,1
"31",363425,94,77
"32",370554,18,1
"33",372724,1,1
"34",13276,2,1
"35",355770,6,1
"36",350427,1,1
"37",373540,2,1
"38",259851,3,1
"39",374901,184,1
"40",379836,1,1
"41",378311,181,1
"42",253812,93,1
"43",380652,181,1
"44",6066,3,1
"45",370744,4,1
"46",246175,184,1
"47",373426,2,1
"48",374061,184,1
"49",355587,184,1
"50",371654,184,1
"51",237044,184,1
"52",236766,184,1
"53",379731,94,77
"54",186430,69,1
"55",259567,90,1
"56",247528,101,1
"57",254909,101,1
"58",247527,101,1
"59",247730,101,1
"60",363732,157,1
"61",367097,184,1
"62",254908,101,1
"63",367968,90,1
"64",220746,101,1
"65",367516,90,1
"66",367098,90,1
"67",123582,114,1
"68",4865,89,1
"69",177138,99,101
"70",360037,101,1
"71",360235,157,1
"72",367385,90,1
"73",345306,90,1
"74",370000,101,1
"75",247493,89,1
"76",355590,109,1
"77",37290,101,1
"78",369728,90,1
"79",366165,90,1
"80",359274,90,1
"81",256548,90,1
"82",246118,101,1
"83",349198,90,1
"84",4732,99,1
"85",259506,110,1
"86",361600,157,1
"87",372616,90,1
"88",362589,90,1
"89",244777,90,1
"90",370511,101,1
"91",374895,90,1
"92",254033,90,1
"93",4754,101,1
"94",374952,157,1
"95",360240,90,1
"96",221620,110,1
"97",259508,110,1
"98",355584,157,1
"99",351522,90,1
"100",235343,90,1
"101",243646,90,1
"102",368443,101,1
"103",257494,90,1
"104",370552,157,1
"105",375616,157,1
"106",375998,90,1
"107",375556,90,1
"108",373792,90,1
"109",221541,90,1
"110",364373,157,1
"111",355580,157,1
"112",81569,101,1
"113",257089,110,1
"114",377326,90,1
"115",377325,90,1
"116",369713,101,1
"117",357948,90,1
"118",376641,90,1
"119",255964,101,1
"120",355705,157,1
"121",254289,90,1
"122",374896,90,1
"123",372618,110,1
"124",361815,157,1
"125",379555,89,1
"126",378800,90,1
"127",375464,157,1
"128",193050,109,1
"129",238058,110,1
"130",100074,114,1
"131",372613,157,1
"132",352423,110,1
"133",380505,90,1
"134",366168,157,1
"135",381402,90,1
"136",374901,109,1
"137",259507,110,1
"138",351361,157,1
"139",224776,90,1
"140",369516,109,1
"141",369515,157,1
"142",360036,101,1
"143",359278,157,1
"144",64052,184,1
"145",372138,89,1
"146",367095,157,1
"147",370556,184,1
"148",374953,157,1
"149",372545,89,1
"150",246781,110,1
"151",257573,110,1
"152",221551,110,1
"153",4884,89,1
"154",364536,110,1
"155",365309,157,1
"156",187872,110,1
"157",355698,157,1
"158",364369,114,1
"159",360234,157,1
"160",5134,89,1
"161",178800,114,1
"162",355438,90,1
"163",257569,184,1
"164",347151,182,1
"165",370554,184,1
"166",374898,184,1
"167",247791,184,1
"168",377253,184,1
"169",228897,184,1
"170",348753,184,1
"171",355599,184,1
"172",375558,184,1
"173",378205,2,1
"174",380411,182,1
"175",381833,184,1
"176",369191,184,1
"177",371797,5,1
"178",368170,181,1
"179",362961,181,1
"180",373261,184,1
"181",373610,181,73
"182",355955,181,73
"183",376785,184,1
"184",376737,181,1
"185",352054,181,1
"186",377657,181,1
"187",380111,181,1
"188",349448,184,1
"189",380653,181,1
"190",371059,181,73
"191",366312,181,73
"192",375382,181,73
"193",376629,181,1
"194",375548,184,1
"195",379594,181,1
"196",365301,184,1
"197",260561,184,1
"198",369191,18,1
"199",370773,5,1
"200",371016,184,1
"201",259503,184,1
"202",372385,2,1
"203",371655,184,1
"204",369020,5,1
"205",369898,5,1
"206",372789,97,77
"207",368479,184,1
"208",370762,2,1
"209",370744,182,1
"210",371781,2,1
"211",370555,184,1
"212",360664,184,1
"213",373407,1,1
