"","item_id","cId","sgId"
"1",6186,1,95
"2",6187,1,98
"3",189414,2,31
"4",189169,2,31
"5",5834,6,31
"6",7133,6,31
"7",202344,46,81
"8",362749,1,31
"9",5772,6,31
"10",357700,1,80
"11",219037,1,13
"12",216458,4,95
"13",356794,6,13
"14",244011,1,13
"15",5844,4,13
"16",230718,6,31
"17",357694,1,98
"18",137048,4,31
"19",100140,1,13
"20",220897,1,13
"21",6018,3,64
"22",6019,3,13
"23",369886,3,13
"24",371779,1,41
"25",371711,1,13
"26",5842,6,64
"27",372757,1,13
"28",162865,1,41
"29",371713,2,31
"30",373415,1,13
"31",72895,1,13
"32",218213,3,81
"33",35459,2,31
"34",5984,3,13
"35",376472,1,31
"36",16073,5,31
"37",6039,3,80
"38",5983,3,13
"39",96230,6,31
"40",378903,3,13
"41",171620,1,81
"42",142037,4,13
"43",230761,1,31
"44",381530,2,13
"45",5839,4,80
"46",97073,6,31
"47",34060,46,36
"48",68171,46,31
"49",250428,3,13
"50",176543,2,31
"51",369577,1,36
"52",357720,4,36
"53",369870,1,80
"54",364440,2,13
"55",370781,1,13
"56",371502,1,13
"57",370766,1,95
"58",137419,2,13
"59",36382,6,31
"60",233131,5,13
"61",373397,4,31
"62",49073,6,31
"63",373413,1,13
"64",374244,1,36
"65",166050,3,13
"66",7137,5,31
"67",375598,166,36
"68",377372,1,8
"69",17526,3,31
"70",129322,6,31
"71",193966,2,31
"72",178086,2,31
"73",380979,1,81
"74",382238,1,13
"75",6111,2,13
"76",60068,5,71
"77",5354,5,71
"78",5766,4,13
"79",5837,4,64
"80",116902,4,64
"81",8909,2,31
"82",357649,4,31
"83",357565,18,13
"84",154684,4,36
"85",367102,4,61
"86",125951,4,31
"87",366248,4,95
"88",36426,2,31
"89",257067,4,36
"90",230718,4,31
"91",217016,2,95
"92",250459,6,102
"93",233270,177,36
"94",234458,2,8
"95",144928,4,13
"96",236215,4,36
"97",248002,3,31
"98",369879,6,31
"99",14221,6,31
"100",367741,177,36
"101",121331,7,31
"102",213860,93,31
"103",59313,3,36
"104",7148,6,31
"105",221537,18,13
"106",175400,94,36
"107",9907,4,36
"108",7134,3,31
"109",5876,3,31
"110",13285,18,36
"111",186387,4,13
"112",355746,7,31
"113",119590,6,31
"114",5812,6,13
"115",8569,7,31
"116",157751,18,13
"117",371265,5,13
"118",170789,177,61
"119",367398,4,13
"120",148546,4,13
"121",373547,5,13
"122",368029,6,13
"123",363632,7,80
"124",88054,177,31
"125",32042,175,31
"126",97072,6,31
"127",373897,4,13
"128",5182,2,31
"129",45680,7,31
"130",137095,7,31
"131",181468,177,36
"132",373396,4,31
"133",127422,5,31
"134",366225,2,31
"135",175192,4,31
"136",170789,4,61
"137",19029,5,36
"138",375002,93,31
"139",161528,5,31
"140",377106,4,13
"141",40099,6,31
"142",166655,4,31
"143",374999,7,80
"144",230089,4,95
"145",166349,4,13
"146",355767,6,31
"147",373897,182,13
"148",382251,4,31
"149",79924,175,31
"150",365421,7,13
"151",231658,7,13
"152",5380,181,80
"153",203043,134,13
"154",368044,1,31
"155",45869,46,31
"156",126647,173,31
"157",8532,7,80
"158",36122,2,31
"159",129497,5,13
"160",5782,6,31
"161",244791,18,13
"162",141912,1,80
"163",38719,3,36
"164",355694,166,71
"165",372802,7,13
"166",357962,94,71
"167",8069,175,31
"168",70951,175,31
"169",220390,7,13
"170",347941,46,36
"171",255701,46,31
"172",170636,134,61
"173",344473,1,13
"174",359490,18,92
"175",360082,18,92
"176",194146,2,31
"177",10123,5,13
"178",63173,175,31
"179",361916,7,13
