"","item_id","cId","sgId"
"1",367714,140,2
"2",245132,2,43
"3",245127,2,33
"4",367712,140,33
"5",245109,1,33
"6",368671,140,43
"7",369030,5,16
"8",244297,140,79
"9",364821,134,16
"10",257473,136,58
"11",222910,91,43
"12",371021,182,43
"13",174790,2,43
"14",372448,140,79
"15",360471,5,43
"16",13745,2,16
"17",248037,140,79
"18",356646,91,20
"19",342951,117,12
"20",245131,2,16
"21",192849,140,79
"22",175401,2,43
"23",377111,5,16
"24",241178,7,44
"25",377543,134,33
"26",238113,140,79
"27",380471,6,16
"28",241176,7,44
"29",380156,6,16
"30",192997,140,79
"31",381376,7,68
"32",381541,3,21
"33",355750,5,43
"34",5982,2,16
"35",245128,2,43
"36",253339,2,33
"37",358388,136,58
"38",369029,4,16
"39",41441,2,16
"40",4951,2,16
"41",75550,2,16
"42",247206,2,16
"43",115018,2,16
"44",232599,36,33
"45",77802,36,33
"46",76875,36,33
"47",5296,36,33
"48",371759,2,16
"49",157850,36,33
"50",373423,2,16
"51",82405,1,16
"52",99400,2,16
"53",84017,1,16
"54",42669,1,16
"55",69504,1,16
"56",375230,81,16
"57",358574,2,43
"58",354592,1,16
"59",249361,5,16
"60",354934,5,16
"61",245130,2,16
"62",379826,6,16
"63",381537,3,16
"64",382151,1,16
"65",381488,1,33
"66",382243,1,16
"67",240576,140,16
"68",192822,91,43
"69",192822,140,43
"70",217476,140,43
"71",367957,91,20
"72",228530,91,79
"73",367713,140,33
"74",196498,140,43
"75",354842,91,16
"76",246111,91,16
"77",244060,140,16
"78",369514,91,78
"79",369796,91,16
"80",240552,91,16
"81",369068,91,18
"82",364242,91,43
"83",369799,91,16
"84",369798,91,14
"85",243464,140,79
"86",62370,91,16
"87",370644,91,16
"88",227849,140,79
"89",243950,140,20
"90",260467,91,16
"91",370517,91,18
"92",240455,140,16
"93",371557,91,18
"94",260467,140,16
"95",371021,4,43
"96",240455,91,16
"97",371025,91,18
"98",373508,91,18
"99",256229,91,20
"100",371651,91,18
"101",371556,140,79
